NameID,Vertical,Industry,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees,PriorYearRevenue,SalesVolume,SmallBusiness

18476,Internet Content & Software,Media & Content,0,0.472195,200,59399998.55,87448387.44,N
18493,Consulting / Other Professional Services,Professional Services,0,0,1,55194.69,55194.69,Y
18514,Consulting / Other Professional Services,Professional Services,0,0.083333,2,157699.11,170840.7,Y
18727,Real Estate / Construction,Other Enterprise,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
18730,Cable & Satellite,CATV/Satellite,0,-0.515,10,2628318.52,1274734.48,Y
18834,Consulting / Other Professional Services,Professional Services,1.5,3.781561,40,2234070.74,10682345.93,Y
18844,Healthcare,Healthcare,0,0,13,1169601.74,1169601.74,Y
19712,Engineering,Professional Services,0,16.29826,300,30094247.05,520578106.1,N
19747,Finance,Finance,0,0,0,  $-   ,  $-   ,0
19886,State/Local Government,Government,0,0,85,  $-   ,  $-   ,N
20216,State/Local Government,Government,0,0.104167,7,630796.44,696504.41,N
20331,Reseller,Telecommunications,0,0.015152,1,86734.51,88048.67,Y
20337,Reseller,Telecommunications,0,2.048272,25,1077610.59,3284850.15,Y
20827,Retail,Other Enterprise,-0.5,-0.627451,6,670221.22,262831.85,Y
20923,Consulting / Other Professional Services,Professional Services,0,0.286091,8,919911.48,1183090.27,Y
20963,Consulting / Other Professional Services,Professional Services,0,0,13,1314159.26,1314159.26,Y
21104,Manufacturing,Energy & Manufacturing,-0.058824,-0.098564,22100,14175704522,12778490396,N
21244,RLEC,Telecommunications,0,0.838916,25,3416814.08,6283234.6,N
21428,State/Local Government,Government,0,0,100,23539433.56,23539433.56,N
21474,Internet Content & Software,Media & Content,0,0.678496,87,14192920.01,23822754.47,Y
21481,Consulting / Other Professional Services,Professional Services,2.833333,0,6,2102654.82,2102654.82,Y
21486,Regional Carrier/ISP,Telecommunications,0,0,3,328539.82,328539.82,Y
21576,Colo/Hosting,Data Center & Cloud Services,0,0,2,197123.89,197123.89,Y
21612,Higher Education,Research & Education,0,0,1100,  $-   ,195857059.2,N
21613,Regional Carrier/ISP,Telecommunications,0,0,25,3679645.93,3679645.93,Y
21634,State/Local Government,Government,0,0,0,  $-   ,8194487.38,Y
21647,Internet Content & Software,Media & Content,0,-0.032258,1,122216.81,118274.33,Y
21857,Wireless,Telecommunications,0,2.182119,14,1839822.96,5854536.14,Y
21930,Finance,Finance,0,4.081976,5,775353.96,3940330.44,Y
22164,Consulting / Other Professional Services,Professional Services,0,0,2,262831.85,262831.85,Y
22278,Retail,Other Enterprise,0,0,5,3416814.08,3416814.08,Y
22309,Commercial Systems Integrator,Professional Services,0,0,35,19821217.06,19821217.06,Y
22390,Colo/Hosting,Data Center & Cloud Services,0,0,0,  $-   ,67022.12,Y
22430,,,0,0,2,289115.04,289115.04,N
22508,Internet Content & Software,Media & Content,0,0,0,  $-   ,  $-   ,0
22520,Consulting / Other Professional Services,Professional Services,0,0.208648,25,3679645.93,4447394.85,Y
22644,Finance,Finance,0,-0.116857,24,3153982.22,2785417.06,N
22645,Finance,Finance,0,0,2,197123.89,197123.89,Y
22747,Internet Content & Software,Media & Content,0,0,150,21026548.16,21026548.16,Y
22876,Finance,Finance,0,5.415062,1100,27728760.39,177881705,Y
22967,Finance,Finance,0,0.1605,350,27597344.46,32026716.93,N
22973,Retail,Other Enterprise,0,0.018868,1,69650.44,70964.6,Y
23000,,,0,0.527164,100,22340707.42,34117929.36,N
23138,Finance,Finance,0,-0.066667,2,197123.89,183982.3,Y
23197,Regional Carrier/ISP,Telecommunications,0,0.027027,4,486238.93,499380.52,Y
23312,Finance,Finance,0.22807,1.790293,285,42973007.8,119907273.5,N
23313,Regional Carrier/ISP,Telecommunications,0,0,0,  $-   ,  $-   ,N
23405,State/Local Government,Government,0,0,2,183982.3,183982.3,Y
23539,Colo/Hosting,Data Center & Cloud Services,0,0.767934,20,3153982.22,5576032.93,Y
23588,Internet Content & Software,Media & Content,0,0.148582,35,4730973.34,5433910.55,Y
23614,Research,Research & Education,0,0,2,131415.93,131415.93,Y
23885,Wireless,Telecommunications,0,-0.441773,10,1169601.74,652903.23,Y
23999,Engineering,Professional Services,0,2.67113,100,20632300.38,75743863.47,N
24048,Retail,Other Enterprise,0,0,12,1708407.04,1708407.04,Y
24139,Reseller,Telecommunications,0,0.058824,3,223407.07,236548.67,Y
24150,National Carrier/ISP,Telecommunications,0,0,2,113017.7,113017.7,Y
24284,Commercial Systems Integrator,Professional Services,0,0,0,  $-   ,  $-   ,N
24370,Retail,Other Enterprise,0,2.259967,42,1971238.89,6426173.07,Y
24593,Retail,Other Enterprise,0,0.708249,250,36796459.28,62857517.4,N
24783,Reseller,Telecommunications,3.473684,5.688192,19,2365486.67,15820829.53,Y
24863,Retail,Other Enterprise,0,1.351296,1819,134701324.2,316722643.9,N
25178,Healthcare,Healthcare,0,0,2,111703.54,111703.54,Y
25231,Internet Content & Software,Media & Content,0,0,2,114331.86,114331.86,Y
25356,Consulting / Other Professional Services,Professional Services,0.046875,0.058513,3200,894174987.1,946495609.7,N
25464,Media,Media & Content,0,0.010526,10,1248451.3,1261592.89,Y
25662,Internet Content & Software,Media & Content,0,0.147541,11,801637.15,919911.48,Y
25744,Real Estate / Construction,Other Enterprise,0,0,0,  $-   ,  $-   ,N
25761,Internet Content & Software,Media & Content,0,0.022222,6,591371.67,604513.26,Y
25763,Finance,Finance,0,0.212121,2,130101.77,157699.11,Y
25830,Internet Content & Software,Media & Content,0,0.025316,1,103818.58,106446.9,Y
25872,Finance,Finance,0,0,0,  $-   ,  $-   ,N
25885,Transportation,Other Enterprise,0,0.226717,60,3679645.93,4513886.05,Y
26267,Consulting / Other Professional Services,Professional Services,11.5,23.656875,4,670221.22,16525560.58,Y
26325,Manufacturing,Energy & Manufacturing,0,-0.999907,260,243119463.1,22723.13,N
26351,State/Local Government,Government,0,0,1200,  $-   ,  $-   ,N
26371,Colo/Hosting,Data Center & Cloud Services,0,0.026996,5300,4405456087,4524387500,N
26488,Consulting / Other Professional Services,Professional Services,0,0.011993,68,9593362.6,9708415.93,Y
26669,Internet Content & Software,Media & Content,0,0.573161,300,43104423.73,67810188.09,Y
26670,Healthcare,Healthcare,0,0,35000,1612356452,1612356452,N
26867,Legal,Professional Services,0,0,6,578230.07,578230.07,Y
27411,Healthcare,Healthcare,0,13.156501,14400,1176172538,16650487138,N
27533,Internet Content & Software,Media & Content,1.266667,4.587922,75,11696017.41,65356437.23,N
27779,Retail,Other Enterprise,0,0,1,65707.96,65707.96,Y
28013,Real Estate / Construction,Other Enterprise,0,6.436675,550,18398229.64,136821661,N
28078,Regional Carrier/ISP,Telecommunications,0,0,1,73592.92,73592.92,Y
28244,Internet Content & Software,Media & Content,0,0,25,2496902.59,2496902.59,Y
28510,National Carrier/ISP,Telecommunications,0,0,1,  $-   ,  $-   ,0
28634,Media,Media & Content,0,0.036097,30,413300352.5,428219194.4,N
28664,K-12 Education,Research & Education,0,0,0,  $-   ,  $-   ,N
28945,Finance,Finance,0,0,2,170840.7,170840.7,Y
29229,Cloud Service Provider,Data Center & Cloud Services,0.8,1.247377,10,1445575.19,3248752.82,Y
29279,Finance,Finance,0,0,50,4599557.41,4599557.41,Y
29296,Wireless,Telecommunications,0,-0.081016,65,8410619.26,7729223.75,Y
29382,Federal Government,Government,0,0,0,  $-   ,  $-   ,N
29450,Retail,Other Enterprise,0,2.219679,20,2234070.74,7192990.26,Y
29479,Internet Content & Software,Media & Content,0,0.026316,1,99876.1,102504.42,Y
