Name/ID,Vertical,Industry,Total BRR Currency,Total BRR,Service Name,Number of Services,Bandwidth,Product,State A,State Z,Service Status,Term,Total MRR,EmployeeQuantityGrowthRate,SalesTurnoverGrowthRate,PriorYearEmployees,PriorYearRevenue,SalesVolume,SmallBusiness
34135,Media,Media & Content,USD,805,245254,1,50Mb,DIA,GA,,Active,36,805.41,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34173,Consulting / Other Professional Services,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.333333,4,30,2891150.37,14455751.86,Y
34246,Internet Content & Software,Media & Content,USD,1241,256829,2,100Mb,ELine,,,Active,48,662.68,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34261,Colo/Hosting,Data Center & Cloud Services,USD,996,233922,1,300Mb,ELAN,CA,,Active,31,995.71,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34269,Internet Content & Software,Media & Content,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.546378,47,6439380.37,9957713.25,N
34342,Finance,Finance,USD,399,254611,2,,Colocation,TX,TX,Active,12,399,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34427,Consulting / Other Professional Services,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,$ -,$ -,N
34444,Consulting / Other Professional Services,Professional Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,3,236548.67,236548.67,Y
34450,Retail,Other Enterprise,USD,316,285055,1,10Mb,DIA,,,Active,24,316,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34512,State/Local Government,Government,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,2500,$ -,$ -,N
34531,Regional Carrier/ISP,Telecommunications,USD,795,48989,76,E1,Private Line,NY,NY,Disconnected,12,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34559,Consulting / Other Professional Services,Professional Services,USD,679,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34574,PTT,Telecommunications,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1.1,4.691529,10,985619.45,5609681.98,N
34576,Colo/Hosting,Data Center & Cloud Services,USD,675,254791,9,,Colocation,TX,TX,Active,12,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34650,Colo/Hosting,Data Center & Cloud Services,USD,1211,226762,1,100Mb,DIA,CA,,Active,12,1210.65,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34684,Healthcare,Healthcare,USD,440,246657,2,10Mb,DIA,AZ,,Active,24,60,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34772,Consulting / Other Professional Services,Professional Services,USD,417,254666,2,,Colocation,TX,TX,Active,1,417,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34844,Internet Content & Software,Media & Content,USD,204,226688,1,1Mb,DIA,CA,,Active,12,203.9,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34857,Finance,Finance,USD,1430,182361,1,100Mb,Dedicated Ethernet,IN,IN,Active,60,1430.16,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
34885,Internet Content & Software,Media & Content,USD,490,256389,2,100Mb,DIA,TX,TX,Active,36,24.28,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35042,Higher Education,Research & Education,USD,640,300007,1,N/A,Cloud IaaS,CO,,Active,12,640,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35090,Consulting / Other Professional Services,Professional Services,USD,1359,221947,1,100Mb,DIA,TX,,Active,36,1359.45,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35245,Consulting / Other Professional Services,Professional Services,USD,2585,267320,3,N/A,Colocation,GA,,Pending Disconnect,12,2410,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35258,Regional Carrier/ISP,Telecommunications,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,10.125187,350,23260618.9,258778741.7,Y
35355,,,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,1.193305,30,4336725.56,9511759.88,Y
35404,Colo/Hosting,Data Center & Cloud Services,USD,399,254814,2,N/A,Colocation,TX,TX,Active,12,399,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35412,Federal Government,Government,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,1.575201,40,2365486.67,6091603.9,N
35497,Cloud Service Provider,Data Center & Cloud Services,USD,1240,283154,2,N/A,Colocation,IL,,Active,36,1040,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35560,Regional Carrier/ISP,Telecommunications,USD,1274,251812,1,1G,DIA,MO,,Active,36,1274.37,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35577,Colo/Hosting,Data Center & Cloud Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0,0,$ -,131415.93,Y
35583,Internet Content & Software,Media & Content,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.594764,56,5782300.74,9221404.28,Y
35608,Healthcare,Healthcare,USD,1205,242198,2,N/A,Colocation,TX,,Active,24,934.17,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35616,Colo/Hosting,Data Center & Cloud Services,USD,$ -,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,0.088235,1,44681.41,48623.89,Y
35641,Consulting / Other Professional Services,Professional Services,USD,558,256073,3,20Mb,DIA,TX,TX,Pending Change,12,6,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35662,Consulting / Other Professional Services,Professional Services,USD,225,242236,3,DS1,DIA,TX,,Active,12,225,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35689,Commercial Systems Integrator,Professional Services,USD,245,241910,2,,Colocation,TX,,Active,12,245,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
35722,Real Estate / Construction,Other Enterprise,USD,1083,222470,1,100Mb,ELine,TX,,Active,12,1082.52,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
